text,label
bistro,inform
okay can i have the address,request
korean food moderate price,inform
address and,request
no the north,negate
uh what its phone number,request
and whats their address,request
looking for moderately priced russian food,inform
uh yes can i get a moderate moderately priced restaurant in the west part of town,affirm
um im looking for an expensive restaurant,inform
gastropub type food,inform
hi i am looking for a moderately priced restaurant in the west,hello
british food in the west part of town,inform
okay uh how bout british food,inform
okay ah how bout portuguese food,inform
whats its phone number,request
im looking for a moderately priced restaurant that serves spanish food,inform
the phone number and post code,request
a cuban restaurant cuban restaurant,inform
okay can i have the address and the phone number please,request
restaurant in the south part of town serving turkish food,inform
not european fusion,deny
im looking for mexican food,inform
is that the north part of town south part of town,confirm
kay can i get their phone number please,request
thank you and good,thankyou
and what is the price range,request
the address phone number and postcode,request
do you have the address,request
how bout asian oriental,inform
im looking for a restaurant in the center of town that serves danish food,inform
how about a place that serves portuguese food,reqalts
ah i dont care,inform
ya im looking for a restaurant serving persian food,inform
okay do you have their phone number,request
does it serve kitalian food,confirm
okay and their address,request
im looking for a moderately priced restaurant that serves austria asian food,inform
is there staurant that serves unusual food,inform
could i have their address and phone number please,request
i want a jamaican food restaurant in the center part of town,inform
i want a gastropub restaurant,inform
im looking for a cheap restaurant serving russian food,inform
a restaurant serving french food,inform
moderate moderate moderate moderate,inform
unintelligible i dont care,inform
okay can i have the phone number,request
im looking for scandinavian food,inform
how about north american type of food,reqalts
in the center,inform
it doesnt matter hungarian food,inform
kay um,ack
belgium,inform
what about earatree food,reqalts
japanese,inform
im looking for a restaurant in the east part of town serving chinese food,inform
im looking for moderately priced restaurant that serves world food,inform
moderately priced restaurant serving moroccan food,inform
area of venue,request
how about in any price range,reqalts
south part of town italian food,inform
it doesnt matter salad,inform
no international,negate
does it serve canapes food,confirm
i would like an expensive restaurant that serves korean food,inform
expensive mediterranean food,inform
correct,affirm
basque food,inform
hello im looking for a cheap restaurant in the west part of town,hello
i would like a restaurant in the west part of town that serves russian food,inform
im looking for a restaurant serving lebanese food,inform
could i have the address phone number and,request
can i get the address phone number and post code,request
anything cheap,inform
where is the address,request
does it serve thai food,confirm
and phone number please,request
price does not matter,inform
city center,inform
how bout thai food,inform
what about belgian food,reqalts
im looking for an expensive restaurant that serves unintelligible food,inform
uh is there a modern european food restaurant,confirm
do you have the phone number of the address,request
breath okay uh thats great how bout the address,request
is there an indian restaurant in the south of town,inform
i want a moderate priced restaurant that serves indian food,inform
uh no price range whats the,request
im looking for an african restaurant,inform
is it in the north part of town,confirm
im looking for a restaurant serving thai type of food,inform
french food any french food,inform
expensive romanian,inform
im looking for a cheap restaurant and it should be in the south part of town,inform
im looking for a moderately priced restaurant that serves christmas food,inform
i want to find a moderately priced restaurant and it should be in the west part of town,inform
uh are there any restaurants serving chinese,reqalts
okay uh how about a bristish,reqalts
uh scandinavian food,inform
i want to find a restaurant in the center and it should serve lebanese food,inform
could you give me a address,request
i would like an expensive restaurant in the east part of,inform
looking for a restaurant in the east part of town thats moderately priced,inform
is there something else,reqalts
ah how bout a turkish type of food,reqalts
id like it to be in the south part of town,inform
how about a restaurant in the west part of town that serves vietnamese food,reqalts
yea im looking for a really cheap restaurant in the east part of town,inform
what about spanish type of food,reqalts
perfect,affirm
can i get a phone number,request
im looking for french food,inform
east part ot tow,inform
i need to find a moderately priced restaurant,inform
im looking for a restaurant in the south part of town serving portuguese,inform
international type food,inform
uh can i have the phone number please,request
i want to find a cheap,inform
im looking for a restaurant moderately pri,inform
more,reqmore
uh yes that serves mediterranean food,affirm
uh south part of town,inform
okay and can i get their address,request
dont matter,inform
cheap restaurant gastropub food,inform
okay what were the prices for the other restaurant,request
i need a moderately priced restaurant in the south,inform
could i have the phone number please,request
im looking for a restaurant in the center that serves sea food,inform
uh what is its address,request
gastropub type of food,inform
