label,text
inform,spanish food
inform,european
bye,good bye
inform,chinese foo
inform,south
request,could i have its phone number
inform,spanish
request,phone number
inform,korean food
inform,cheap
inform,i dont care
inform,im looking for thai
request,what is the address
affirm,yes im looking for a
inform,south
inform,any food
inform,does not matter
inform,that serves takes out food
affirm,yes
inform,cantonese
request,what is the address
inform,i want an expensive restaurant in the south part of town
request,what is the address and phone number
request,what is the address
request,what is the address
request,whats the address
thankyou,thank you good bye
request,and what kind of food
affirm,yes
inform,indian
reqalts,anything else
thankyou,thank you goodbye
confirm,is it moderately priced
thankyou,thank you good bye
reqalts,what about chinese food
inform,dont care
thankyou,okay thank you good bye
request,address
request,whats the post code
request,i want the address and ph
inform,portuguese food
thankyou,thank you good bye
thankyou,thank you goodbye
inform,any price range
inform,moderate
bye,good bye
request,what type of food does the missing sock serve
inform,dont care
inform,british food north part of town
reqalts,do you have anything else
request,phone number
inform,cheap
inform,world food
inform,european food
request,whats the address
inform,moderate price range
inform,korean
request,what is the address
thankyou,thank you good bye
request,and phone number
inform,any area
inform,moderately priced
inform,i dont care
inform,french food
thankyou,thank you
request,what is their phone number
inform,european food
request,address phone number and price range
request,can i have the phone number
affirm,yes
inform,<noise> i am looking for a restaurant
inform,i dont care
request,what is the address
inform,okay then any
inform,indian food
inform,the center of town
request,what is the phone number
request,address
request,phone number
request,and the post code
inform,dont care
affirm,yes
inform,im looking for a cheap restaurant that serves turkish
request,uh phone number
inform,west
thankyou,thank you good bye
reqalts,what about american food
inform,austrian food
inform,im looking for a restaurant in the north part of town
inform,any
inform,any part of town
inform,expensive
request,give me the address phone number and price range
inform,east
request,and whats the phone number
request,what is the phone number
thankyou,thank you good bye
reqalts,how about italian food
inform,spanish
inform,doesnt matter
reqalts,how about one serving jamaican food
reqalts,um how about italian food
inform,asian oriental
thankyou,thank you good bye
inform,any part
negate,no
inform,in the south
inform,im looking for asian oriental food
inform,west part of town
request,what is the address
thankyou,thank you good bye
ack,okay and what about the address
request,how about the post code
request,whats the address
affirm,correct
request,post code
request,address
thankyou,thank you good bye
request,what is the phone number
request,address
inform,chinese food
inform,im looking for cheap food in the north of town
thankyou,thank you good bye
inform,moderate
request,post code
inform,north part of town
request,what type of food
inform,cheap restaurant
inform,dont care
inform,thai food
inform,um is doesnt matter
inform,um i need a cheap restaurant
inform,vietnamese
inform,i dont care
request,what is the phone number
inform,south
inform,im looking for a restaurant in the east part of town that serves international
inform,im looking for a portuguese restaurant
request,address
inform,west part of town
inform,vietnamese food
inform,south expensive
inform,west
thankyou,thank you good bye
inform,irish food on the east part of town
inform,im looking for a thai restaurant
affirm,yes
inform,moderately priced
reqalts,is there anything else
inform,cheap
thankyou,thank you good bye
thankyou,thank you good bye
inform,italian food
reqalts,how about portuguese
negate,no
inform,any
affirm,yea
request,and where is it
affirm,yes
thankyou,thank you good bye
inform,i dont care
request,whats the phone number
inform,cheap
inform,any
affirm,yes
request,may i have the address
request,what is the address of the
inform,indian
thankyou,thank you good bye
inform,breath im looking for a restaurant in the east part of tow
request,can i have the address and post code
negate,no austrian food
inform,modern european
inform,the east part
reqalts,how about asian oriental type of food
thankyou,thank you good bye
affirm,yes
request,what type of food
thankyou,okay thank you good bye
inform,the south
inform,i dont care
inform,im looking for a spanish restaurant
inform,dont care
thankyou,thank you goodbye
thankyou,thank you good bye
inform,i dont care
thankyou,thank you goodbye
inform,im looking for a restaurant in the west part of town serving italian food
request,what area are the asian oriental restaurants
request,whats the address
thankyou,thank you good bye
request,may i have the address
inform,it doesnt matter
inform,im looking for a cheap restaurant
inform,kosher food in the north
request,and whats the phone number
affirm,yes
request,whats the address
request,whats the address
request,where is it
thankyou,okay thank you
inform,romanian
inform,im looking for expensive restaurants that serve mediterranean food
inform,i would like to find a cheap restaurant and it should be in the south
request,okay what is the address and phone number
inform,i dont care
request,and phone number
inform,turkish
thankyou,thank you good bye
inform,i dont care
inform,south
request,can i have the address
inform,south
reqalts,what about european food
thankyou,thank you good bye
inform,polynesian food
ack,okay um
thankyou,thank you good bye
thankyou,thank you good bye
inform,i dont care
inform,i would like to find an expensive restaurant in the south part of town
request,phone number
reqalts,uh is there any other
request,thats fine whats the address
request,what is the address
inform,i dont care
reqalts,uh is there any restaurant that serves indian food
inform,i want a restaurant in the we
inform,the west
reqalts,how about cheap
thankyou,thank you good bye
affirm,yes
request,whats the phone number
inform,hungarian
inform,im looking for a restaurant that serves
inform,spanish food
request,address
request,what type of food is it
inform,im looking for an expensive restaurant that serves european food
thankyou,thank you good bye
reqalts,what about french food
request,what is its phone number
ack,okay uh can i
inform,mexican food
thankyou,thank you good bye
inform,i do not care
request,address
inform,mexican food
request,post code
inform,korean
inform,food type
request,type of food
inform,indian
inform,vietnamese
inform,chinese in the south part of town
inform,lebanese
request,what is the phone number
inform,looking for a sea food restaurant
request,address
inform,canapes
request,address
bye,okay thank you and good bye
inform,cantonese food north
request,address
thankyou,thank you good bye
request,whats the phone number
inform,cheap
affirm,yes
thankyou,okay thank you good bye
thankyou,thank you good bye
thankyou,thank you good bye
inform,if theres no persian food about about chinese
request,what is the address
request,and the phone number
inform,venue
request,phone number
inform,korean
request,whats the address and phone number
inform,moderate
thankyou,thank you
request,address
inform,danish
inform,afghan food
inform,i need a restaurant that serves canape
request,whats their address
thankyou,thank you good bye
inform,doesnt matter
inform,i need a cheap restaurant in the south part of town
request,address
thankyou,thank you good bye
inform,i dont care
thankyou,thank you good bye
request,postcode
inform,south part of town
request,alright whats its phone number
inform,expensive restaurant in the east
thankyou,thank you good bye
inform,i dont care
inform,international food
reqalts,how about a gastropub
reqalts,how about french food
request,address
reqalts,how about french food
thankyou,thank you good bye
request,uh what is the address
reqalts,is there anything else
thankyou,thank you good bye
request,what is the address and phone number
thankyou,thank you good bye
request,area
request,phone number
inform,im looking for a restaurant that serves british food
inform,any
inform,im looking for um
request,address
inform,i cant answer in spanish
thankyou,thank you good bye
hello,<noise> hello
request,what is the address
request,what is the address and post code
reqalts,um what about italian food
bye,okay thank you and good bye
reqalts,how about a restaurant serving vietnamese food
thankyou,thank you good bye
inform,doesnt matter
inform,east
inform,asian
inform,doesnt matter
inform,pan asian food
inform,i dont care
request,and the address
inform,fast food
thankyou,thank you good bye
inform,id like a restaurant in the north part of town that serves cross over food
inform,the south part of town
request,whats the phone number
inform,a restaurant that serves
inform,moderate
thankyou,thank you good bye
inform,cheap
affirm,yes
request,postcode
thankyou,thank you good bye
inform,im looking for a restaurant in the north part of town serving lebanese food
request,and the price range
inform,find me a moderately priced restaurant in
thankyou,thank you goodbye
thankyou,thank you good bye
reqalts,anything else
thankyou,thank you good bye
request,okay and whats the post code
request,what is the address and phone number
request,price range
reqalts,how about an indian restaurant
request,uh phone number
request,whats the phone number
affirm,yes
request,can i have the address and phone number
inform,expensive
thankyou,thank you good bye
inform,it doesnt matter
request,whats the address
reqalts,is there anything else
affirm,yes west part of town
inform,any
inform,hungarian food
inform,can i have a restaurant in the center with spanish food
inform,indian food
request,phone number
thankyou,thank you good bye
thankyou,okay thank you
thankyou,thank you good bye
inform,any area
inform,a moderately priced restaurant
inform,im looking for a restaurant that serves jamaican food
inform,looking for a cheap restaurant in the north part of town
confirm,uh is there a modern european food restaurant
request,what is the phone number
request,what is the phone number
inform,a moderately priced restaurant
request,and what type of food
inform,looking for a restaurant in the center that serves
reqalts,sure how about asian food
thankyou,thank you good bye
inform,west
request,what is the address
inform,romanian
request,and the telephone number
inform,chinese
inform,im looking for an expensive restaurant in the south part of town
inform,traditional food
inform,that doesnt matter
inform,im looking for a restaurant in the east part of town that serves indonesian food
thankyou,thank you good bye
thankyou,thank you good bye
thankyou,thank you good bye
inform,west part of town
reqalts,how about portuguese
inform,im looking for portuguese food
thankyou,thank you goodbye <noise> thank you goodbye
inform,basque food
inform,portuguese
request,phone number
reqalts,how about indian food
inform,i dont care
request,what kind of food is that
request,address
thankyou,thank you good bye
thankyou,thank you good bye
reqalts,is there anything else
inform,i dont care
request,where is it lcoated
request,what is the address
request,whats the phone number
reqalts,anything else
inform,i would like to find a moderately priced restaurant
request,whats the address
inform,south part of town
inform,cheap restaurant south part of town
inform,brazilian food
request,what is the phone number and price range
request,whats the address
request,can i get the address phone number and price range
inform,french
request,what is the address and post code
affirm,yes korean food
reqalts,what about thai food
request,address phone number and area
request,whats the address
inform,south
thankyou,thank you and good bye
inform,pan asian
affirm,yes
inform,i dont care
reqalts,is there anything else
request,phone number
inform,moderate
thankyou,thank you good bye
thankyou,thank you good bye
thankyou,thank you good bye
confirm,is it in the center
inform,moderately priced restaurant
request,and the address
thankyou,thank you goodbye
inform,spanish food
thankyou,thank you
request,phone number
inform,a cheap restaurant in the south part of town
thankyou,thank you good bye
request,the phone number
reqalts,how about british food
request,and the phone number
inform,expensive restaurant serving portuguese food
confirm,is that persian food
request,phone number
inform,corsica food
inform,doesnt matter
thankyou,thank you good bye
reqalts,anything else
thankyou,thank you good bye
inform,italian food
request,can i get the phone number
thankyou,thank you goodbye
inform,british food
inform,cheap price range
request,post code
inform,indian
inform,any thing
affirm,yes
negate,no id like
inform,moderate
inform,looking for a moderately priced restaurant
inform,mediterranean food
request,address
thankyou,thank you good bye
thankyou,thank you goodbye
request,whats the address
inform,i want the center of town
thankyou,okay thank you good bye
inform,french food
thankyou,thank you goodbye
inform,east
request,phone number
inform,malyasian
request,uh price range
request,what area
inform,dont care
inform,japanese
inform,im looking for a cheap restaurant in the north part of town
negate,no
affirm,yes
request,and what type of food do they serve
request,the post code as well please
thankyou,thank you good bye
inform,restaurant in the west part of town that serves airitran food
inform,caribbean
