text,label
cantonese food,inform
is there is no such venue that have asian oriental type of food,inform
can you,null
um spanish food,inform
priced,null
no belgium,negate
signature dish,request
yes moderately priced,affirm
great whats the address and phone number,request
okay can i have the address,request
okay cool thank you good bye,bye
i would like a restaurant in the west part of town that serves cuban food,inform
i am looking for a cheap restaurant,inform
does it serve canapes food noise,confirm
okay what about turkish foo,reqalts
hungarian food,inform
the food,inform
yea in the west part of town,affirm
yea id like a cheap restaurant in the north part of town,inform
uh whats the address,request
im looking for a restaurant serving pan asian foo,inform
i would like portuguese food,inform
portuguese type of food,inform
uh the centre,inform
fucking west,inform
i need a cheap restaurant in the east part of town,inform
moderately priced vanessa restaurant,inform
no i am looking for a vietnamese restaurant,negate
how much,request
im looking for something in the south part of town that serves creative,inform
im looking for a moderate priced restaurant in the north part of town,inform
thank you so much good bye,bye
i want to find a,null
im looking for moderately priced restaurant,inform
scandanavian,inform
did you hang up on me,null
hi i want a restaurant,hello
hi i would like a cheap restaurant in the north part of town,hello
and whats the postal code,null
i would like it to be cheap,inform
is there a venue that serve vietnamese food,confirm
no dont care,negate
im good can i have the address and phone number please,request
static,null
im looking for korean food any price range,inform
start again,restart
and expensive restaurant that serves tuscan food,inform
phone number phone number,request
whats its number,request
how how bout chinese food,inform
i want to find a moderately priced restaurant that serves moroccan food,inform
can i have something else,reqalts
center part of town,inform
noise restaurant west part of town danish food,inform
what about any area,reqalts
what is the post co,request
can i get their address and phone number,request
im looking for a restaurant in the west part of town that serves scottish,inform
does it serve italian food,confirm
im looking for tuscan food,inform
i want a restaurant in the east part of town that serves singaporean food,inform
what is the address phone number,request
restaurant in the north part of town that serves hungarian food,inform
traditional,inform
okay can i have the address and post code please,request
in the east part of town,inform
id like a cheap restaurant on the south of town,inform
is it in the centre of town,confirm
looking for a modernity priced restaurant in the south part of town,inform
and what area of town are they,request
i dont care is there anything else,reqalts
noise i would like to find a moderately priced restaurant in the south of town,inform
how about korean now,reqalts
noice how about european,reqalts
do you have chinese food,inform
child,null
and what type of food,request
im looking for something moderate,inform
how about moderately priced,reqalts
im looking for a cheap restaurant in the north part of town,inform
how about ah one that serves asian oriental,reqalts
an expensive restaurant with seafood,inform
im looking for a restaurant that serves austral austrian food,inform
oh thank you goodbye,thankyou
im looking for an expensive restaurant and it should serve unusual food,inform
what about in the west area,reqalts
expensive restaurant serving kosher food,inform
i am looking for a restaurant in the center of town serving turkish food,inform
what is price range,request
um i need a vietnamese restaurant in any price range,inform
is there any other restaurant,reqalts
i want swedish ffood,inform
what type of food do they have,request
im looking for a restaurant in the west,inform
address phone number prices,request
uh no i need the phone number,request
restaurant in the north part of,inform
uh yes im looking for a restaurant in the center that serves lebanese food,affirm
how bout one that serves portuguese food and is cheap,inform
um how about,null
im looking for a restaurant in any area,inform
moderately priced afghan,inform
moroccan food,inform
i want to find an expensive restaurant,inform
expensive restaurant tuscan food,inform
i want to know the address and the,request
um any type of food,inform
english,inform
alright thank you good,thankyou
okay and whats the post code,request
is there any serving spanish food,inform
im looking for a cheap restaurant in the south,inform
im looking for a cheap restaurant and it should be in the south part of town,inform
i want a modern european,inform
uh yes im looking for an expensive restaurant that serves korean food,affirm
see phone number and address,request
part of town that serves asian food,inform
i want to find a expensive restaurant that serves mediterranean,inform
