text,label
7:30,null
<noise>,null
<noise> address,request
<noise> address and the post code of the venue,request
<noise> ah gastropub food,inform
<noise> any,inform
<noise> any area,inform
<noise> any price range,inform
<noise> anything expensive,inform
<noise> are there any venues that serve indian type food,inform
<noise> breath whats their phone number,request
<noise> can i get the address and phone number,request
<noise> can i have the phone number,request
<noise> can you repeat the post code please,request
<noise> center,inform
<noise> cheap restaurant,inform
<noise> ease part of town east,inform
<noise> east,inform
<noise> food,inform
<noise> french food,inform
<noise> hello,hello
<noise> how bout thai,inform
<noise> hungarian,inform
<noise> i am looking for a moderately priced restaurant unintelligible,inform
<noise> i am looking for a restaurant,inform
<noise> i dont care about the price range,inform
<noise> i want to find a restaurant that ser,inform
<noise> i want to find a restaurant that serve french food,inform
<noise> i would like to find a moderately priced restaurant in the south of town,inform
<noise> im looking for a cheap restaurant in the south part of town,inform
<noise> im looking for a moderately priced restaurant,inform
<noise> im looking for a restaurant in the moderately pri,inform
<noise> im looking for a restaurant serving vegetarian food,inform
<noise> im looking for a restaurant that serves scottish food,inform
<noise> im looking for an expensive restaurant and it should serve tuscan food,inform
<noise> im looking for moderately priced in the north part of cleveland ohio,inform
<noise> im looking for tuscan food,inform
<noise> is there anything else,reqalts
<noise> it doesnt matter,inform
<noise> looking for an expensive restaurant,inform
<noise> looking for an expensive restaurant in the south part of town,inform
<noise> malaysian <noise>,inform
<noise> may i have its address,request
<noise> no,negate
<noise> no im looking for a french restaurant,negate
<noise> north part of town,inform
<noise> okay,null
<noise> phone number,request
<noise> restaurant west part of town danish food,inform
<noise> south part of town,inform
<noise> taquita restaurant,inform
<noise> thank you good bye,thankyou
<noise> thank you goodbye,thankyou
<noise> um in the east part of town,inform
<noise> vietnamese,inform
<noise> west,inform
<noise> what is the area,request
<noise> what is the phone number,request
<noise> what was their address again please,request
<noise> yes,affirm
a cheap,inform
a cheap mexican restaurant,inform
a cheap restauran,inform
a cheap restaurant,inform
a cheap restaurant and it should be in the west part of town,inform
a cheap restaurant east part of town,inform
a cheap restaurant in,inform
a cheap restaurant in the east part of town,inform
a cheap restaurant in the north part of town,inform
a cheap restaurant in the south part of town,inform
a cheap restaurant in the west part of town,inform
a cheap restaurant serving caribbean food,inform
a cheap restaurant serving mexican food,inform
a cheap restaurant that serves basque food,inform
a chi ok lets look for chinese restaurant,inform
a chinese,inform
a chinese restaurant in the south part of town,inform
a chinese restaurant that serves moderately priced food,inform
a cuban restaurant cuban restaurant,inform
a expensive restaurant serving japanese food,inform
a indian restaurant,inform
a moderate restaurant in the west part of town,inform
a moderately place restaurant,inform
a moderately priced fusion food,inform
a moderately priced restaurant,inform
a moderately priced restaurant in the,inform
a moderately priced restaurant in the east of town,inform
a moderately priced restaurant in the north part of town,inform
a moderately priced restaurant in the south part of town,inform
a moderately priced restaurant in the west part of town,inform
a moderately priced restaurant that serves,inform
a moderately priced restaurant that serves vietnamese food,inform
a phone number please,request
a post code,request
a restaurant,inform
a restaurant cheap north part of town,inform
a restaurant in,inform
a restaurant in any area,inform
a restaurant in the center,inform
a restaurant in the center of town,inform
a restaurant in the center of town serving carraibean food,inform
a restaurant in the center that serves leban,inform
a restaurant in the center that serves mediterranean food,inform
a restaurant in the east part of town serving indian food,inform
a restaurant in the east part of town that serves caribbean food,inform
a restaurant in the north part of town,inform
a restaurant in the south part of town,inform
a restaurant in the south part of town hungarian food,inform
a restaurant in the south part of town serving italian food,inform
a restaurant in the south part of town serving pan asian food,inform
a restaurant in the south part of town that serves italian food,inform
a restaurant in the west part of town,inform
a restaurant in the west part of town should serve crossover food,inform
a restaurant in the west part of town that serves hungarian food,inform
a restaurant in the west that serves italian food,inform
a restaurant serving french food,inform
a restaurant serving thai food,inform
a restaurant south part of town,inform
a restaurant that serves,inform
a restaurant that serves creative food,inform
a restaurant that serves german food,inform
a restaurant that serves scandinavian food,inform
a restaurant thats serving international food,inform
a restaurant with afghan food,inform
a spanish restaurant in the center,inform
a vietnamese,inform
a want a cheap restaurant in the north part of town,inform
about portuguese,inform
ad,null
adddress,request
addre,request
address,request
address <noise>,request
address and,request
address and area,request
address and food,request
address and phone number,request
address and phone number please,request
address and post code,request
address and postcode,request
address and price range,request
address and the post code,request
address and type of food,request
address phone number,request
address phone number and area,request
address phone number and post code,request
address phone number and postcode,request
address phone number and price range,request
address phone number and type of food,request
address phone number and type of venue,request
address phone number area,request
address phone number post code,request
address phone number postcode,request
address phone number price range,request
address phone number prices,request
address please,request
address post code,request
address price range,request
addrss,request
adress,null
afghan,inform
afghan <noise>,inform
afghan food,inform
african,inform
african food,inform
african food in any price range,inform
african food please,inform
after,null
again,repeat
again i do not care,inform
again please,repeat
ah a phone number,request
ah any,inform
ah can i find a unintelligible restaurant serving scotch food,inform
ah centre,inform
ah could you give me the address,request
ah how bout a turkish type of food,reqalts
ah how bout an expensive one,reqalts
ah i dont care,inform
ah im looking for a cheap restaurant,inform
ah im looking for a restaurant in the center serving french food,inform
ah it doesnt matter,inform
ah scottish food,inform
ah thank you goodbye,thankyou
ah thank you phone number,request
ah what have you got for thai food,inform
ah whats the address,request
ah whats the phone number,request
ah whats the price ran,request
ah where is it,request
ah yes,affirm
ah yes can i get a restaurant that serves french food,affirm
ah yes can i get ah expensive restaurant in the south part of town,affirm
ah yes im looking for persian food and i dont care about the pri,affirm
ah yes im looking for persian food though,affirm
ah yes that serves french food,affirm
air tran,inform
airatarin,inform
airitran,inform
alright,null
alright can i get chinese food,inform
alright can i have the address,request
alright do you have the phone number for that one,request
alright gastropub food,inform
alright give me the address,request
alright good bye thank you,bye
alright i want a restaurant in any,inform
alright so im very good thanks good bye,bye
alright thank you bye,thankyou
alright thank you good,thankyou
alright thank you good bye,bye
alright thank you goodbye,thankyou
alright thank you thats it,thankyou
alright thank you very much food bye,thankyou
alright what is the address,request
alright whats its phone number,request
alright whats the address,request
alright whats the phone number,request
alright whats their address,request
american,inform
an address,request
an an expensive restaurant,inform
an area,request
an expensive italian restaurant,inform
an expensive restaurant,inform
an expensive restaurant in the east part of town,inform
an expensive restaurant in the south part of town,inform
an expensive restaurant serving cantonese food,inform
an expensive restaurant serving thai food,inform
an expensive restaurant with seafood,inform
an expensive unintelligible,inform
and,null
and a phone number,request
and address,request
and ah,null
and anything else,reqalts
and asian,inform
and asian food,inform
and at the gastropub,inform
and british food,inform
and can,null
and can i get the address,request
and can i get the address phone number and price range,request
and can i get their address,request
and can i have the address,request
and can i have the address and phone number please,request
and can i have the address phone number and price range of the restaurant please,request
and can i have the phone number,request
and can i have the phone number and ah the area where it is,request
and can i have the post code,request
and can i have the post code please,request
and can you tell me the phone number,request
and can you tell me the post code,request
and expensive restaurant that serves tuscan food,inform
and finally the post code,request
and for good luck what is the post code,request
and i need the address and post code,request
and i think thatll do it thank you good bye,thankyou
and is this a moderately priced restaurant,confirm
and it should be in the north part of town,inform
and it should be in the south part of town,inform
and it should be in the west part of town,inform
and its address,request
and its in the west part of town,inform
and mail postal code,request
and may i have the post code,request
and moderately priced,inform
and okay and vietnamese food thank you,inform
and phone nubmer,request
and phone number,request
and phone number please,request
and post code,request
and postcode,request
and price range,request
and thats all thank you and good bye,thankyou
and the,null
and the address,request
and the address <noise>,request
and the area,request
and the food type,inform
and the north,inform
and the one before,null
and the phone number,request
and the phone number again,request
and the phone number and address,request
and the phone number okay,request
and the phone number please,request
and the post code,request
and the post code of the venue,request
and the post code please,request
and the postal code,request
and the postcode,request
and the price code,request
and the price range,request
and the telephone,request
and the telephone number,request
and the type of food,request
and the type of food at gourmet burger kitchen,request
and the type of food they serve,request
and their address,request
and their address and phone number,request
and their phone number,request
and their phone number please,request
and their post code,request
and type of food,request
and uh their post code,request
and what about the phone number,request
and what area,request
and what area is it,request
and what area is it in,request
and what area is that,request
and what area is that in,request
and what area of town are they,request
and what area of town is it in,request
and what is the address,request
and what is the address please,request
and what is the area,request
and what is the other restaurant,reqalts
and what is the phone number,request
and what is the post code,request
and what is the post code again,request
and what is the price range,request
and what is their phone number,request
and what is their post code,request
and what is unintelligible telephone number,request
and what kind of food,request
and what kind of food do they have,request
and what kind of food do they serve,request
and what kind of food does it serve,request
and what kind of food does the venue ser,request
and what part of town is it in,request
and what price range is that or nevermind,request
and what type of food,request
and what type of food do they serve,request
and what type of food do they serve at pizza hutt,request
and what type of food does it serve,request
and what type of food is it,request
and what type of food is that,request
and what type of whats the phone number,request
and whats its phone number,request
and whats the address,request
and whats the other one,null
and whats the phone number,request
and whats the phone number for that,request
and whats the phone number there,request
and whats the post code,request
and whats the postal code,null
and whats the postcode,request
and whats the price range,request
and whats the telephone number,request
and whats their,null
and whats their address,request
and whats their phone number,request
and whats their post code,request
and whats their price range,request
and where is it,request
and where is that located,request
and would you be able to tell me the phone number,request
another,reqalts
another one,reqalts
another place,reqalts
another please,reqalts
another restaurant,reqalts
another type of food,reqalts
any,inform
any <noise>,inform
any address,inform
any any part of town,inform
any any type,inform
any anything else,inform
any area,inform
any area any price,inform
any area cuban food,inform
any area expensive price range,inform
any area is fine with me,inform
any asian oriental,inform
any cheap food,inform
any expensive,inform
any fine,inform
any food,inform
any food that serves any restaurant thats expensive,inform
any is okay,inform
any japanese restaurants,inform
any kind,inform
any kind any thing,inform
any kind in the east part of town,inform
any kind in the north part of town,inform
any kind of food,inform
any kind of food id like a cheap restaurant,inform
any moderately,inform
any more,reqalts
any of those things,inform
any of town,inform
any part,inform
any part of town,inform
any part of town please,inform
any price,request
any price rage,request
any price range,inform
any price range <noise>,inform
any price range is fine,inform
any range,inform
any range is fine,inform
any restaurant that serves asian oriental food,inform
any restaurant that serves moroccan food,inform
any restaurants,inform
any spanish,inform
any thing,inform
any thing else,null
any time,inform
any type,inform
any type is fine,inform
any type of area,inform
any type of food,inform
any type of food is okay,inform
any where,inform
anything,inform
anything cheap,inform
anything else,reqalts
anything else gastropub,reqalts
anything elses,reqalts
anything house,reqalts
anything is fine,inform
anywhere,inform
appleton wisconsin,null
are their any other restaurants that serve turkish food,inform
are there any,null
are there any barbecue restaurants,reqalts
are there any british rest british food,inform
are there any cantonese restaurants,inform
are there any other cheap restaurants in the west part of town,reqalts
are there any other expensive restaurants in the east part of town,reqalts
are there any other options,reqalts
are there any other restaurants,reqalts
