label,text
request,address
affirm,yes
affirm,yes
request,and the phone number
inform,thai food
inform,basque food
inform,expensive
thankyou,thank you good bye
inform,south
inform,south part of town
inform,east
inform,italian food
inform,i dont care
reqalts,is there anything else
request,phone number
thankyou,thank you good bye
inform,i want a restaurant in the center of town that serves vinesha
request,okay i need the phone number and address
reqalts,okay how about asian oriental
inform,dont care whats the phone number
inform,i need a restaurant that serves halal food
inform,i dont care
inform,i want a restaurant in the east part of town that serves singaporean food
null,system
inform,lebanese
inform,moderately
affirm,yes
request,the address
request,and the telephone number
inform,center part of town
inform,what about mediterranean food
request,what type of food is it
inform,id like a moderately priced restaurant in the west part of town
affirm,yes
request,address
request,the post code
inform,east part of town serving swedish food
thankyou,thank you good bye
reqalts,how about indian
thankyou,thank you good bye
bye,good bye
null,okay
thankyou,thank you
request,what is the phone number
null,sil
inform,south
request,and their phone number
null,noise
inform,i want a restaurant in the south part of town that serves moroccan food
inform,south of town
request,phone number
request,what type of food is it
thankyou,thank you good bye
thankyou,thank you good bye
null,noise
inform,dont care moderate
inform,im looking for a restaurant that serves
reqalts,anything else
inform,it doesnt matter
inform,moroccan
thankyou,thank you good bye
inform,okay uh how bout british food
request,phone number
inform,serving lebanese food
inform,i want thai food
request,can i have the address and phone number
null,noise
affirm,correct
inform,any type
request,what is the phone number
request,address
reqalts,uh are there any restaurants serving chinese
inform,mediterranean
request,address
inform,cheap
confirm,is it in the center of town
hello,hi im looking for a restaurant that serves lebanese food
thankyou,thank you good bye
inform,im looking for an expensive restaurant serving asian oriental
request,whats their address
thankyou,thank you good bye
inform,east
inform,i dont care
request,can i have the address and the price range
affirm,yes
inform,indonesian food
inform,it doesnt matter
thankyou,thank you good bye
null,sil
affirm,yes
thankyou,thank you good bye
request,the address phone number and post code
inform,restaurant in west part of town serving corsica food
negate,no
thankyou,thank you good bye
inform,cheap restaurant
request,what is the phone number
request,whats the phone number and post code
inform,asian
inform,hungarian
inform,i do not care
thankyou,thank you goodbye
thankyou,thank you good bye
inform,creative food
inform,dont care
thankyou,thank you good bye
null,can you
inform,dont care
request,and whats the phone number
inform,im looking for a restaurant in the north part of town that serves european food
request,price
request,can i get the phone number
inform,moderately priced afghan
inform,moderately priced restaurant
request,price range
reqalts,anything else
thankyou,thank you good bye
request,phone number
affirm,yes
inform,dont care
request,and post code
inform,id like a hungarian food restaurant in the centre part of town
reqalts,how about indian food
inform,i dont care
inform,doesnt matter
thankyou,thank you good bye
request,phone number
inform,any is okay
request,phone number
thankyou,thank you good bye
request,can i have the address and phone number
thankyou,thank you good bye
inform,moderate priced
request,may i have the address and phone number
request,could i have the phone number please
inform,chinese food
inform,just give me a cheap restaurant
request,can i have the address and phone number please
request,phone number
thankyou,thank you good bye
request,different kind of food
request,address
request,whats the phone number
inform,moderately priced restaurant in the west part of town
inform,expensive restaurant south part of town
null,unintelligible
request,what is the phone number
request,and a phone number
inform,canapes food
inform,i dont care
request,whats the address and phone number
affirm,yeah
inform,doesnt matter
negate,no
inform,gastropub food
thankyou,thank you goodbye
inform,im looking for an expensive restaurant that serves sea food
request,whats the address
thankyou,thank you good bye
inform,swedish food
inform,west
inform,can i have a moderately priced restaurant
inform,find me a moderately priced restaurant in
inform,food
request,address
request,phone number
inform,spanish
thankyou,thank you good bye
reqalts,how about american food
request,phone number
inform,yes uh turkish food in my area
request,okay might i have the address
thankyou,thank you good bye
inform,italian food
inform,moderate
null,sil
inform,spanish food
thankyou,thank you good bye
inform,im looking for a cheap restaurant in the north part of town
inform,dont care
inform,any part
request,phone number
inform,breath a cheap restaurant in the north part of town
inform,a cheap restaurant in the west part of town
request,may i get the address and phone please
reqalts,anything else
inform,corsica food
inform,um is doesnt matter
inform,thai
request,talking whats the address
request,what is the phone number
inform,chinese in the south part of town
affirm,yes
inform,east
inform,i dont care
hello,hi im looking for an expensive restaurant in the south part of town
inform,noise looking for an expensive restaurant in the south part of town
request,may i have the address please
inform,i want a restaurant
inform,moderately
inform,the south part of town id like a restaurant that serves traditional food
request,what is the phone number
inform,cheap resataurant serving unintelligible food
request,what is the price range
inform,any type
request,whats the postcode
request,what is the post code
reqalts,thats great what else is there
reqalts,is there anything else
inform,im looking for a cheap spanish restaurant
inform,im looking for romanian food
inform,south part of town
request,whats the phone number
inform,spanish food
inform,dont care
null,noise
affirm,right in the south part of town
negate,no air tran food
thankyou,thank you good bye
thankyou,thank you good bye
inform,italian food
inform,east
inform,i want to find a turkish food
request,and what type of food do they serve
inform,the north
inform,south
null,unintelligible
request,whats the address
inform,i dont care
request,whats the phone number
affirm,yes
request,phone number
thankyou,okay thank you
inform,i would like to find an expensive restaurant that serves corsica food
null,noise
null,unintelligible
inform,i need a cheap restaurant
inform,any type
inform,thai
inform,could i have a restaurant that serves thai food
request,address
request,the post code
null,sil
null,sil
request,whats the phone number and address
affirm,yes
thankyou,thank you good bye
request,phone number
affirm,yes
inform,looking for hungarian food in the north side of town
null,i want
null,sil
request,addre
bye,good bye
inform,im looking for a moderately priced restaurant serving cuban food
inform,north american restaurant expensive
request,what is the address
request,whats the address
thankyou,thank you goodbye
request,uh whats the address and the phone number
inform,i dont care
inform,cheap restaurant
inform,i dont care
inform,food
request,the phone number
inform,noise i am looking for a restaurant
inform,indian
thankyou,thank you good bye
affirm,yes
request,price range
inform,im looking for a restaurant that serves tuscan food
inform,south part of town
request,could i have the address and phone number
reqalts,is there anything else
request,probably an address
request,okay and can i get their phone number
inform,moderate
request,area
inform,any
request,area of the food of the venue
request,can i have the phone number
inform,inexpensive
inform,middle
inform,any
request,the food of the venue
thankyou,thank you good bye
thankyou,thank you good bye
thankyou,thank you good bye
inform,east
request,and type of food
thankyou,thank you good bye
null,old
request,and the address
